Name, Age, IncomeRange, Education, Skills, Social, isPaid
Albert, 23, 0, 0, 3, 3, 0
Alexandra, 25, 1, 2, 4, 2, 0
Athena, 24, 0, 1, 3, 4, 0
Aurora, 23, 1, 2, 5, 2, 0
Babis, 21, 0, 0, 3, 4, 0
Bill, 31, 1, 2, 4, 2, 0
Bob, 32, 1, 1, 3, 1, 1
Carl, 30, 0, 2, 4, 2, 0
Catherine, 31, 1, 1, 3, 3, 0
Charlie, 30, 1, 2, 3, 2, 0
Constantine, 37, 1, 1, 3, 2, 0
Dmitry, 35, 2, 2, 1, 1, 1
Elena, 38, 1, 1, 3, 2, 0
Eric, 37, 2, 2, 2, 2, 0
Frank, 39, 3, 1, 3, 1, 1
George, 42, 2, 2, 2, 1, 0
Jack, 43, 3, 1, 1, 1, 0
John, 45, 4, 2, 1, 1, 0
Maria, 43, 2, 1, 3, 1, 1
Lukas, 45, 3, 2, 1, 1, 0
Wujian, 25, 1, 0, 4, 3, 1
Wujian1, 25, 1, 0, 4, 3, 1
Wujian2, 25, 1, 0, 4, 3, 1
